fecha,AAPL.close,variacion_precio,AAPL.volume,mes,year,dia,mes_year
2021-01-04,129.41000366210938,0.9752807391744132,143301900,1,2021,4,1-2021
2021-01-05,131.00999450683594,1.0123637338648421,97664900,1,2021,5,1-2021
2021-01-06,126.5999984741211,0.9663384763176619,155088000,1,2021,6,1-2021
2021-01-07,130.9199981689453,1.0341232207495428,109578200,1,2021,7,1-2021
2021-01-08,132.0500030517578,1.0086312625925513,105158200,1,2021,8,1-2021
2021-01-11,128.97999572753906,0.9767511756662706,100384500,1,2021,11,1-2021
2021-01-12,128.8000030517578,0.9986044915355597,91951100,1,2021,12,1-2021
2021-01-13,130.88999938964844,1.0162266792575367,88636800,1,2021,13,1-2021
2021-01-14,128.91000366210938,0.9848728265201928,90221800,1,2021,14,1-2021
2021-01-15,127.13999938964844,0.9862694575891848,111598500,1,2021,15,1-2021
2021-01-19,127.83000183105469,1.0054271074777308,90757300,1,2021,19,1-2021
2021-01-20,132.02999877929688,1.0328561127128284,104319500,1,2021,20,1-2021
2021-01-21,136.8699951171875,1.0366583078288232,120150900,1,2021,21,1-2021
2021-01-22,139.07000732421875,1.016073736286376,114459400,1,2021,22,1-2021
2021-01-25,142.9199981689453,1.0276838329040348,157611700,1,2021,25,1-2021
2021-01-26,143.16000366210938,1.0016792995818566,98390600,1,2021,26,1-2021
2021-01-27,142.05999755859375,0.9923162470286611,140843800,1,2021,27,1-2021
2021-01-28,137.08999633789062,0.9650147732921563,142621100,1,2021,28,1-2021
2021-01-29,131.9600067138672,0.9625794021368316,177523800,1,2021,29,1-2021
2021-02-01,134.13999938964844,1.016520101279687,106239800,2,2021,32,2-2021
2021-02-02,134.99000549316406,1.0063367087176327,83305400,2,2021,33,2-2021
2021-02-03,133.94000244140625,0.9922216237570938,89880900,2,2021,34,2-2021
2021-02-04,137.38999938964844,1.025757778746879,84183100,2,2021,35,2-2021
2021-02-05,136.75999450683594,0.9954144778687585,75693800,2,2021,36,2-2021
2021-02-08,136.91000366210938,1.0010968789214594,71297200,2,2021,39,2-2021
2021-02-09,136.00999450683594,0.993426271775621,76774200,2,2021,40,2-2021
